Label.Bakker,SAMN,Label.SRA,year,collect,plot,CO2,plant,tissue,biol
FACE176,SAMN11840542,SRR9124815,Y18,2018-07-10,Y18_Plot8,Ambient,Y18_Plot8_02,leaf,FACE
FACE205,SAMN11840543,SRR9124816,Y18,2018-07-17,Y18_Plot8,Ambient,Y18_Plot8_03,spike,FACE
FACE214,SAMN11840452,SRR9124817,Y18,2018-07-24,Y18_Plot2,Ambient,Y18_Plot2_05,spike,FACE
FACE215,SAMN11840453,SRR9124818,Y18,2018-07-24,Y18_Plot2,Ambient,Y18_Plot2_06,leaf,FACE
FACE054,SAMN11840339,SRR9124819,Y17,2017-07-24,Y17_Plot3,Ambient,Y17_Plot3_03,leaf,FACE
FACE053,SAMN11840338,SRR9124820,Y17,2017-07-24,Y17_Plot3,Ambient,Y17_Plot3_03,spike,FACE
FACE052,SAMN11840337,SRR9124821,Y17,2017-07-24,Y17_Plot3,Ambient,Y17_Plot3_02,leaf,FACE
FACE051,SAMN11840336,SRR9124822,Y17,2017-07-24,Y17_Plot3,Ambient,Y17_Plot3_02,spike,FACE
FACE050,SAMN11840335,SRR9124823,Y17,2017-07-24,Y17_Plot3,Ambient,Y17_Plot3_01,leaf,FACE
FACE049,SAMN11840334,SRR9124824,Y17,2017-07-24,Y17_Plot3,Ambient,Y17_Plot3_01,spike,FACE
FACE150,SAMN11840444,SRR9124825,Y18,2018-07-10,Y18_Plot2,Ambient,Y18_Plot2_01,spike,FACE
FACE151,SAMN11840445,SRR9124826,Y18,2018-07-10,Y18_Plot2,Ambient,Y18_Plot2_02,leaf,FACE
FACE152,SAMN11840446,SRR9124827,Y18,2018-07-10,Y18_Plot2,Ambient,Y18_Plot2_02,leaf,FACE
FACE181,SAMN11840447,SRR9124828,Y18,2018-07-17,Y18_Plot2,Ambient,Y18_Plot2_03,spike,FACE
FACE182,SAMN11840448,SRR9124829,Y18,2018-07-17,Y18_Plot2,Ambient,Y18_Plot2_03,spike,FACE
FACE183,SAMN11840449,SRR9124830,Y18,2018-07-17,Y18_Plot2,Ambient,Y18_Plot2_04,leaf,FACE
FACE184,SAMN11840450,SRR9124831,Y18,2018-07-17,Y18_Plot2,Ambient,Y18_Plot2_04,leaf,FACE
FACE213,SAMN11840451,SRR9124832,Y18,2018-07-24,Y18_Plot2,Ambient,Y18_Plot2_05,spike,FACE
FACE237,SAMN11840547,SRR9124833,Y18,2018-07-24,Y18_Plot8,Ambient,Y18_Plot8_05,spike,FACE
FACE208,SAMN11840546,SRR9124834,Y18,2018-07-17,Y18_Plot8,Ambient,Y18_Plot8_04,leaf,FACE
FACE207,SAMN11840545,SRR9124835,Y18,2018-07-17,Y18_Plot8,Ambient,Y18_Plot8_04,leaf,FACE
FACE206,SAMN11840544,SRR9124836,Y18,2018-07-17,Y18_Plot8,Ambient,Y18_Plot8_03,spike,FACE
FACE269,SAMN11840551,SRR9124837,Y18,2018-07-31,Y18_Plot8,Ambient,Y18_Plot8_07,spike,FACE
FACE240,SAMN11840550,SRR9124838,Y18,2018-07-24,Y18_Plot8,Ambient,Y18_Plot8_06,leaf,FACE
